,RMSE (°C),MAE (°C),R²,Coverage,CRPS,CI Width (°C)
Standard GP (rbf),1.1008369065632007,0.7457185555191796,0.6506565966548224,0.9933333333333333,0.14303526016036186,7.604554176330566
Standard GP (matern),1.1263512808194205,0.7647755361291826,0.6342752945170496,0.9933333333333333,0.1444971677370388,7.830907344818115
Bayesian GP (MCMC),1.2604312885759796,0.8443181037535524,0.5420216635571666,0.59,0.7119672186902744,1.596639234755746
