model,rmse,mae,r2,bias,random_error
Direct Calibration,0.6877332667966563,0.5306425394632324,0.9072512033193407,0.12427955665423196,0.6764108500435428
Standard GP,1.6682183844170186,1.324047349388045,0.45427477954707773,0.10368154105209669,1.664993308140303
Latent Variable Extraction,0.8586278829548363,0.6718373684597206,0.8554299956156654,0.12735754552464487,0.8491300824876256
Bayesian GP State-Space,0.6599948506236758,0.5061886677281684,0.9145820167677141,0.14422082013426216,0.6440446862521024
