Depth,Age,d18O,Ref,,Depth,Age,UK37,Ref,,Depth,Age,MgCa,Ref
19.31,484.3,-0.21,,,6.44,162.06,0.885,,,,,,
19.51,491,-0.33,,,6.48,163,0.899,,,,,,
19.71,502,-0.22,,,6.56,164.85,0.902,,,,,,
19.91,513,-0.16,,,6.62,166.23,0.913,,,,,,
20.11,517.4,-0.37,,,6.68,167.61,0.927,,,,,,
20.31,521.8,-0.66,,,6.74,168.95,0.918,,,,,,
20.41,524,,,,6.8,170.24,0.919,,,,,,
20.51,528.7,-0.68,,,6.86,171.53,0.934,,,,,,
20.71,538,-0.26,,,6.92,172.82,0.915,,,,,,
20.91,552,-0.53,,,6.98,174.11,0.91,,,,,,
21.11,563,-0.34,,,7.04,175.4,0.912,,,,,,
21.31,574,-0.59,,,7.1,176.69,0.916,,,,,,
21.51,585,-0.41,,,7.16,177.95,0.917,,,,,,
21.71,596,-1.45,,,7.22,179.21,0.918,,,,,,
21.91,601.2,-0.61,,,7.28,180.47,0.918,,,,,,
22.11,606.5,-0.37,,,7.34,181.73,0.919,,,,,,
22.31,611.7,-0.42,,,7.4,182.99,0.92,,,,,,
22.51,617,-0.76,,,7.46,184.25,0.934,,,,,,
22.71,622.5,-0.49,,,7.52,185.5,0.907,,,,,,
22.91,628,0.48,,,7.58,186.7,0.924,,,,,,
23.11,632,0.32,,,7.64,187.9,0.921,,,,,,
23.31,636,0.3,,,7.69,188.9,0.917,,,,,,
23.51,640,0.25,,,7.76,190.3,0.931,,,,,,
23.71,644,-0.02,,,7.82,191.5,0.935,,,,,,
23.91,648,0.03,,,7.88,192.7,0.939,,,,,,
24.11,652,0.06,,,7.94,193.9,0.954,,,,,,
24.31,656,0.11,,,8,195.1,0.957,,,,,,
24.51,662.6,-0.22,,,8.06,196.3,0.962,,,,,,
24.71,669.2,-0.16,,,8.13,197.69,0.966,,,,,,
24.91,675.8,-0.24,,,8.18,198.67,0.961,,,,,,
25.11,682.4,-0.62,,,8.24,199.84,0.94,,,,,,
25.31,689,-0.87,,,8.29,200.81,0.952,,,,,,
25.51,692.7,-0.38,,,8.36,202.18,0.956,,,,,,
25.71,696.3,0.16,,,8.42,203.35,0.953,,,,,,
25.91,700,0.05,,,8.48,204.52,0.943,,,,,,
26.11,703.5,0.18,,,8.54,205.66,0.931,,,,,,
26.31,707,-0.21,,,8.6,206.77,0.939,,,,,,
26.51,710.5,-0.03,,,8.66,207.88,0.935,,,,,,
26.71,714,-0.43,,,8.73,209.08,0.932,,,,,,
26.91,717.5,0.1,,,8.78,209.78,0.932,,,,,,
27.11,721,-0.25,,,8.84,210.62,0.937,,,,,,
27.31,723.9,-0.06,,,8.9,211.46,0.936,,,,,,
27.51,726.7,-0.4,,,8.96,213.11,0.934,,,,,,
27.71,729.6,-0.54,,,9.02,214.93,0.936,,,,,,
27.81,731,,,,9.08,216.74,0.925,,,,,,
27.91,733.8,-0.51,,,9.14,218.56,0.874,,,,,,
28.11,739.3,-0.28,,,9.2,220.38,0.896,,,,,,
28.31,744.9,-0.03,,,9.26,222.19,0.859,,,,,,
28.51,750.4,0,,,9.32,224.31,0.857,,,,,,
28.71,756,0.11,,,9.38,226.74,0.884,,,,,,
28.91,759.4,0.01,,,9.44,229.17,0.884,,,,,,
29.11,762.8,-0.54,,,9.5,231.6,0.912,,,,,,
29.31,766.2,-0.52,,,9.56,234.03,0.924,,,,,,
29.51,769.7,-0.61,,,9.62,236.45,0.936,,,,,,
29.71,773.1,-0.88,,,9.68,238.88,0.951,,,,,,
29.91,776.5,-0.47,,,9.74,241.31,0.954,,,,,,
30.11,779.9,-0.97,,,9.8,243.74,0.954,,,,,,
30.31,783.3,-0.94,,,9.86,246.16,0.956,,,,,,
30.51,786.7,-0.87,,,9.92,248.59,0.956,,,,,,
30.71,790.2,-0.3,,,9.98,251.02,0.963,,,,,,
30.91,793.6,0.13,,,10.04,253.45,0.966,,,,,,
31.11,797,0.19,,,10.1,255.88,0.936,,,,,,
31.31,799.6,0.18,,,10.16,258.3,0.929,,,,,,
31.51,802.1,0.04,,,10.22,260.73,0.923,,,,,,
31.71,804.7,0.13,,,10.28,263.16,0.933,,,,,,
31.91,807.2,0.01,,,10.34,265.59,0.89,,,,,,
32.11,809.8,0.03,,,10.4,267.35,0.873,,,,,,
32.31,812.4,0.12,,,10.46,269.12,0.873,,,,,,
32.51,814.9,-0.02,,,10.54,271.47,0.867,,,,,,
32.71,817.5,-0.45,,,10.58,272.65,0.86,,,,,,
32.91,828.7,-0.03,,,10.64,274.41,0.859,,,,,,
33.11,839.9,0.21,,,10.7,276.18,0.853,,,,,,
33.31,843.9,0,,,10.76,277.94,0.861,,,,,,
33.51,847.9,-0.05,,,10.82,279.71,0.868,,,,,,
33.71,851.9,-0.18,,,10.88,281.47,0.869,,,,,,
33.91,855.9,-0.75,,,10.94,283.24,0.874,,,,,,
34.11,859.9,-0.57,,,11,285,0.882,,,,,,
34.31,864.7,-0.44,,,11.06,286.22,0.876,,,,,,
34.51,870.3,-0.6,,,11.12,287.44,0.854,,,,,,
34.71,875.8,-0.09,,,11.18,288.66,0.866,,,,,,
34.91,881.4,-0.11,,,11.24,289.87,0.857,,,,,,
35.11,884.4,-0.2,,,11.3,291.09,0.832,,,,,,
35.31,887.4,-0.77,,,11.36,292.31,0.851,,,,,,
35.51,890.4,-0.69,,,11.42,293.53,0.843,,,,,,
35.71,893.5,-0.67,,,11.48,294.75,0.855,,,,,,
35.91,896.5,-0.57,,,11.54,295.97,0.847,,,,,,
36.11,899.5,-0.41,,,11.6,297.19,0.865,,,,,,
36.51,909.3,-1.18,,,11.66,298.4,0.858,,,,,,
36.71,914.2,-0.61,,,11.72,299.62,0.861,,,,,,
36.91,919.1,-0.53,,,11.78,300.84,0.859,,,,,,
37.11,925.3,-0.45,,,11.84,302.06,0.868,,,,,,
37.31,932.8,-0.69,,,11.9,303.28,0.896,,,,,,
37.51,940.3,-1.22,,,11.96,304.5,0.911,,,,,,
37.71,947.8,-0.82,,,12.02,305.71,0.917,,,,,,
37.91,954.3,-1.11,,,12.08,306.93,0.93,,,,,,
38.11,960.8,-0.64,,,12.14,308.15,0.932,,,,,,
38.31,967.3,-0.69,,,12.2,309.19,0.888,,,,,,
38.51,973.1,-0.86,,,12.26,310.23,0.892,,,,,,
38.71,978.2,-0.63,,,12.32,311.24,0.899,,,,,,
39.11,988.4,-1.32,,,12.38,312.14,0.882,,,,,,
39.31,990.6,-0.77,,,12.44,313.03,0.886,,,,,,
39.51,992.9,-0.63,,,12.5,313.93,0.909,,,,,,
39.71,995.1,-0.4,,,12.56,314.83,0.903,,,,,,
39.91,997.3,-0.4,,,12.62,315.72,0.916,,,,,,
40.11,999.5,-0.48,,,12.68,316.62,0.932,,,,,,
40.31,1002,-0.28,,,12.74,317.52,0.91,,,,,,
40.51,1004,-0.05,,,12.8,318.43,0.919,,,,,,
,,,,,12.86,319.34,0.927,,,,,,
,,,,,12.92,320.25,0.937,,,,,,
,,,,,12.98,321.15,0.947,,,,,,
,,,,,13.04,322.05,0.946,,,,,,
,,,,,13.1,322.95,0.936,,,,,,
,,,,,13.16,323.88,0.948,,,,,,
,,,,,13.22,324.81,0.949,,,,,,
,,,,,13.28,325.74,0.955,,,,,,
,,,,,13.34,326.68,0.962,,,,,,
,,,,,13.4,327.64,0.968,,,,,,
,,,,,13.46,328.6,0.973,,,,,,
,,,,,13.52,329.57,0.951,,,,,,
,,,,,13.58,330.57,0.944,,,,,,
,,,,,13.64,331.58,0.929,,,,,,
,,,,,13.7,332.58,0.912,,,,,,
,,,,,13.76,333.59,0.898,,,,,,
,,,,,13.82,334.59,0.891,,,,,,
,,,,,13.88,335.6,0.886,,,,,,
,,,,,13.94,336.72,0.882,,,,,,
,,,,,14,337.95,0.899,,,,,,
,,,,,14.06,339.18,0.872,,,,,,
,,,,,14.13,340.61,0.906,,,,,,
,,,,,14.18,341.64,0.885,,,,,,
,,,,,14.24,342.87,0.887,,,,,,
,,,,,14.3,344.1,0.887,,,,,,
,,,,,14.36,345.4,0.886,,,,,,
,,,,,14.42,346.72,0.891,,,,,,
,,,,,14.48,348.04,0.888,,,,,,
,,,,,14.54,349.42,0.89,,,,,,
,,,,,14.6,350.86,0.892,,,,,,
,,,,,14.66,352.3,0.873,,,,,,
,,,,,14.72,353.78,0.858,,,,,,
,,,,,14.78,355.46,0.862,,,,,,
,,,,,14.84,357.14,0.851,,,,,,
,,,,,15.24,367.94,0.872,,,,,,
,,,,,15.3,369.56,0.873,,,,,,
,,,,,15.36,371.18,0.876,,,,,,
,,,,,15.42,372.8,0.881,,,,,,
,,,,,15.48,374.42,0.873,,,,,,
,,,,,15.54,376.04,0.882,,,,,,
,,,,,15.6,377.66,0.906,,,,,,
,,,,,15.66,379.28,0.895,,,,,,
,,,,,15.72,380.9,0.897,,,,,,
,,,,,15.78,382.52,0.919,,,,,,
,,,,,15.84,384.14,0.932,,,,,,
,,,,,15.9,385.76,0.938,,,,,,
,,,,,15.96,387.38,0.948,,,,,,
,,,,,16.02,389,0.939,,,,,,
,,,,,16.08,391.22,0.95,,,,,,
,,,,,16.14,393.44,0.946,,,,,,
,,,,,16.2,395.66,0.92,,,,,,
,,,,,16.26,397.89,0.919,,,,,,
,,,,,16.32,400.11,0.945,,,,,,
,,,,,16.38,402.33,0.956,,,,,,
,,,,,16.44,404.55,0.965,,,,,,
,,,,,16.5,406.77,0.953,,,,,,
,,,,,16.56,408.99,0.973,,,,,,
,,,,,16.62,411.22,0.971,,,,,,
,,,,,16.66,412.08,0.962,,,,,,
,,,,,16.74,413.8,0.961,,,,,,
,,,,,16.8,415.09,0.953,,,,,,
,,,,,16.86,416.25,0.948,,,,,,
,,,,,16.92,417.39,0.949,,,,,,
,,,,,16.98,418.53,0.945,,,,,,
,,,,,17.04,419.76,0.873,,,,,,
,,,,,17.1,421.08,0.876,,,,,,
,,,,,17.16,422.4,0.878,,,,,,
,,,,,17.22,423.72,0.869,,,,,,
,,,,,17.28,425.04,0.86,,,,,,
,,,,,17.34,426.36,0.857,,,,,,
,,,,,17.4,427.68,0.859,,,,,,
,,,,,17.46,429.18,0.87,,,,,,
,,,,,17.52,430.71,0.848,,,,,,
,,,,,17.58,432.24,0.861,,,,,,
,,,,,17.64,433.69,0.877,,,,,,
,,,,,17.7,435.07,0.88,,,,,,
,,,,,17.76,436.45,0.871,,,,,,
,,,,,17.84,438.29,0.868,,,,,,
,,,,,17.88,439.21,0.876,,,,,,
,,,,,17.94,440.59,0.858,,,,,,
,,,,,18,441.97,0.865,,,,,,
,,,,,18.06,443.38,0.864,,,,,,
,,,,,18.12,444.79,0.857,,,,,,
,,,,,18.18,446.2,0.863,,,,,,
,,,,,18.24,447.64,0.864,,,,,,
,,,,,18.3,449.11,0.876,,,,,,
,,,,,18.36,450.58,0.894,,,,,,
,,,,,18.42,451.98,0.906,,,,,,
,,,,,18.48,453.06,0.892,,,,,,
,,,,,18.54,454.14,0.89,,,,,,
,,,,,18.6,455.22,0.872,,,,,,
,,,,,18.66,456.23,0.895,,,,,,
,,,,,18.72,457.22,0.904,,,,,,
,,,,,18.78,458.21,0.909,,,,,,
,,,,,18.84,459.2,0.889,,,,,,
,,,,,18.9,460.19,0.867,,,,,,
,,,,,18.96,461.18,0.876,,,,,,
,,,,,19.03,462.31,0.886,,,,,,
,,,,,19.08,463.09,0.883,,,,,,
,,,,,19.14,464.02,0.898,,,,,,
,,,,,19.2,464.95,0.912,,,,,,
,,,,,19.26,465.85,0.881,,,,,,
,,,,,19.32,466.75,0.862,,,,,,
,,,,,19.44,468.69,0.878,,,,,,
,,,,,19.5,469.86,0.883,,,,,,
,,,,,19.56,471.03,0.9,,,,,,
,,,,,19.62,472.25,0.916,,,,,,
,,,,,19.68,473.75,0.909,,,,,,
,,,,,19.74,475.25,0.89,,,,,,
,,,,,19.8,476.75,0.873,,,,,,
,,,,,19.86,478.36,0.89,,,,,,
,,,,,19.92,479.99,0.908,,,,,,
,,,,,19.98,481.62,0.913,,,,,,
,,,,,20.04,483.51,0.935,,,,,,
,,,,,20.1,485.66,0.946,,,,,,
,,,,,20.16,487.81,0.945,,,,,,
,,,,,20.22,490,0.952,,,,,,
,,,,,20.28,492.34,0.952,,,,,,
,,,,,20.34,494.68,0.958,,,,,,
,,,,,20.4,497.02,0.946,,,,,,
,,,,,20.46,499.66,0.944,,,,,,
,,,,,20.52,502.36,0.941,,,,,,
,,,,,20.58,505.06,0.933,,,,,,
,,,,,20.64,507.62,0.93,,,,,,
,,,,,20.7,510.03,0.925,,,,,,
,,,,,20.76,512.45,0.926,,,,,,
,,,,,20.82,514.87,0.922,,,,,,
,,,,,20.88,517.28,0.928,,,,,,
,,,,,20.94,519.7,0.926,,,,,,
,,,,,21,525.08,0.91,,,,,,
,,,,,21.06,531.06,0.906,,,,,,
,,,,,21.12,537.03,0.893,,,,,,
,,,,,21.18,543.01,0.907,,,,,,
,,,,,21.24,548.57,0.907,,,,,,
,,,,,21.3,553.7,0.923,,,,,,
,,,,,21.36,558.83,0.929,,,,,,
,,,,,21.42,563.59,0.946,,,,,,
,,,,,21.48,566.53,0.941,,,,,,
,,,,,21.54,569.47,0.959,,,,,,
,,,,,21.6,572.41,0.932,,,,,,
,,,,,21.66,574.85,0.934,,,,,,
,,,,,21.72,577.29,0.939,,,,,,
,,,,,21.78,579.73,0.948,,,,,,
,,,,,21.86,582.99,0.954,,,,,,
,,,,,21.9,584.62,0.932,,,,,,
,,,,,21.96,587.06,0.921,,,,,,
,,,,,22.03,589.91,0.927,,,,,,
,,,,,22.08,591.94,0.941,,,,,,
,,,,,22.14,594.38,0.937,,,,,,
,,,,,22.2,596.82,0.94,,,,,,
,,,,,22.26,599.26,0.952,,,,,,
,,,,,22.32,601.71,0.965,,,,,,
,,,,,22.38,604.15,0.949,,,,,,
,,,,,22.44,606.59,0.961,,,,,,
,,,,,22.5,609.03,0.958,,,,,,
,,,,,22.56,611.47,0.954,,,,,,
,,,,,22.62,613.91,0.957,,,,,,
,,,,,22.68,616.35,0.963,,,,,,
,,,,,22.74,618.79,0.963,,,,,,
,,,,,22.8,621.24,0.97,,,,,,
,,,,,22.86,623.68,0.916,,,,,,
,,,,,22.92,626.12,0.912,,,,,,
,,,,,22.98,628.56,0.903,,,,,,
,,,,,23.04,631,0.883,,,,,,
,,,,,23.1,632.72,0.889,,,,,,
,,,,,23.16,634.44,0.897,,,,,,
,,,,,23.22,636.16,0.903,,,,,,
,,,,,23.28,637.88,0.914,,,,,,
,,,,,23.34,639.6,0.896,,,,,,
,,,,,23.4,641.32,0.904,,,,,,
,,,,,23.46,643.05,0.91,,,,,,
,,,,,23.52,644.77,0.907,,,,,,
,,,,,23.58,646.49,0.918,,,,,,
,,,,,23.64,648.21,0.916,,,,,,
,,,,,23.7,649.93,0.923,,,,,,
,,,,,23.76,651.65,0.93,,,,,,
,,,,,23.83,653.66,0.921,,,,,,
,,,,,23.88,655.09,0.927,,,,,,
,,,,,23.94,656.81,0.92,,,,,,
,,,,,24,658.53,0.926,,,,,,
,,,,,24.06,660.25,0.922,,,,,,
,,,,,24.12,661.97,0.911,,,,,,
,,,,,24.18,663.69,0.923,,,,,,
,,,,,24.24,665.41,0.925,,,,,,
,,,,,24.3,667.14,0.923,,,,,,
,,,,,24.36,668.86,0.924,,,,,,
,,,,,24.42,670.58,0.936,,,,,,
,,,,,24.48,672.3,0.904,,,,,,
,,,,,24.54,674.02,0.915,,,,,,
,,,,,24.6,675.74,0.926,,,,,,
,,,,,24.66,677.46,0.932,,,,,,
,,,,,24.72,679.18,0.938,,,,,,
,,,,,24.78,680.9,0.94,,,,,,
,,,,,24.84,682.62,0.934,,,,,,
,,,,,24.9,684.34,0.917,,,,,,
,,,,,24.99,686.92,0.93,,,,,,
,,,,,25.05,688.64,0.945,,,,,,
,,,,,25.11,690.36,0.944,,,,,,
,,,,,25.17,692.09,0.945,,,,,,
,,,,,25.23,693.81,0.957,,,,,,
,,,,,25.29,695.53,0.953,,,,,,
,,,,,25.35,697.25,0.953,,,,,,
,,,,,25.41,698.97,0.955,,,,,,
,,,,,25.47,700.69,0.955,,,,,,
,,,,,25.53,702.41,0.956,,,,,,
,,,,,25.59,706.06,0.956,,,,,,
,,,,,25.65,708.37,0.957,,,,,,
,,,,,25.71,710.68,0.961,,,,,,
,,,,,25.77,712.79,0.964,,,,,,
,,,,,25.83,713.93,0.956,,,,,,
,,,,,25.89,715.07,0.903,,,,,,
,,,,,25.95,716.21,0.894,,,,,,
,,,,,26.01,717.23,0.888,,,,,,
,,,,,26.08,718.38,0.888,,,,,,
,,,,,26.13,719.21,0.88,,,,,,
,,,,,26.19,720.2,0.89,,,,,,
,,,,,26.25,721.19,0.898,,,,,,
,,,,,26.31,722.18,0.924,,,,,,
,,,,,26.37,723.36,0.93,,,,,,
,,,,,26.43,725.49,0.926,,,,,,
,,,,,26.49,727.62,0.921,,,,,,
,,,,,26.55,729.75,0.916,,,,,,
,,,,,26.61,732.25,0.926,,,,,,
,,,,,26.67,734.83,0.926,,,,,,
,,,,,26.73,737.41,0.931,,,,,,
,,,,,26.79,739.75,0.918,,,,,,
,,,,,26.85,741.85,0.931,,,,,,
,,,,,26.91,743.95,0.927,,,,,,
,,,,,26.97,745.92,0.932,,,,,,
,,,,,27.03,747.22,0.927,,,,,,
,,,,,27.09,748.52,0.92,,,,,,
,,,,,27.14,749.61,0.892,,,,,,
,,,,,27.21,751.04,0.885,,,,,,
,,,,,27.27,752.24,0.887,,,,,,
,,,,,27.33,753.44,0.883,,,,,,
,,,,,27.39,754.96,0.869,,,,,,
,,,,,27.45,756.81,0.87,,,,,,
,,,,,27.51,758.66,0.876,,,,,,
,,,,,27.57,760.51,0.903,,,,,,
,,,,,27.63,762.35,0.922,,,,,,
,,,,,27.69,764.2,0.93,,,,,,
,,,,,27.75,766.05,0.935,,,,,,
,,,,,27.81,767.9,0.943,,,,,,
,,,,,27.87,769.34,0.926,,,,,,
,,,,,27.93,770.79,0.934,,,,,,
,,,,,28,772.47,0.946,,,,,,
,,,,,28.05,773.67,0.964,,,,,,
,,,,,28.11,775.12,0.951,,,,,,
,,,,,28.17,776.59,0.946,,,,,,
,,,,,28.23,778.2,0.95,,,,,,
,,,,,28.29,779.81,0.96,,,,,,
,,,,,28.35,781.42,0.961,,,,,,
,,,,,28.41,782.94,0.954,,,,,,
,,,,,28.47,784.44,0.924,,,,,,
,,,,,28.53,785.95,0.895,,,,,,
,,,,,28.59,787.45,0.888,,,,,,
,,,,,28.65,788.95,0.874,,,,,,
,,,,,28.71,790.45,0.87,,,,,,
,,,,,28.77,792.01,0.88,,,,,,
,,,,,28.83,793.84,0.853,,,,,,
,,,,,28.89,795.67,0.855,,,,,,
,,,,,28.94,797.19,0.864,,,,,,
,,,,,29.01,799.9,0.864,,,,,,
,,,,,29.07,802.42,0.854,,,,,,
,,,,,29.13,804.94,0.877,,,,,,
,,,,,29.19,807.31,0.874,,,,,,
,,,,,29.25,809.53,0.875,,,,,,
,,,,,29.31,811.75,0.912,,,,,,
,,,,,29.37,813.86,0.922,,,,,,
,,,,,29.43,815.42,0.934,,,,,,
,,,,,29.49,816.98,0.935,,,,,,
,,,,,29.55,818.54,0.935,,,,,,
,,,,,29.61,820.23,0.943,,,,,,
,,,,,29.67,821.94,0.951,,,,,,
,,,,,29.73,823.65,0.956,,,,,,
,,,,,29.79,825.45,0.952,,,,,,
,,,,,29.85,827.34,0.955,,,,,,
,,,,,29.91,829.23,0.932,,,,,,
,,,,,29.97,831.1,0.939,,,,,,
,,,,,30.03,832.9,0.938,,,,,,
,,,,,30.09,834.7,0.918,,,,,,
,,,,,30.15,836.5,0.917,,,,,,
,,,,,30.21,838.08,0.925,,,,,,
,,,,,30.27,839.61,0.933,,,,,,
,,,,,30.33,841.14,0.92,,,,,,
,,,,,30.39,842.67,0.943,,,,,,
,,,,,30.45,844.2,0.961,,,,,,
,,,,,30.51,846.52,0.966,,,,,,
,,,,,30.57,848.85,0.944,,,,,,
,,,,,30.63,851.17,0.94,,,,,,
,,,,,30.69,853.49,0.94,,,,,,
,,,,,30.75,855.81,0.959,,,,,,
,,,,,30.81,857.78,0.963,,,,,,
,,,,,30.87,859.67,0.969,,,,,,
,,,,,30.93,861.56,0.963,,,,,,
,,,,,30.99,863.34,0.956,,,,,,
,,,,,31.05,865.02,0.92,,,,,,
,,,,,31.11,866.7,0.892,,,,,,
,,,,,31.17,868.35,0.882,,,,,,
,,,,,31.23,869.85,0.874,,,,,,
,,,,,31.29,871.35,0.856,,,,,,
,,,,,31.35,872.85,0.864,,,,,,
,,,,,31.41,874.33,0.875,,,,,,
,,,,,31.47,875.8,0.863,,,,,,
,,,,,31.53,877.27,0.87,,,,,,
,,,,,31.59,878.71,0.866,,,,,,
,,,,,31.65,880.12,0.866,,,,,,
,,,,,31.71,881.53,0.865,,,,,,
,,,,,31.77,882.92,0.865,,,,,,
,,,,,31.83,884.21,0.862,,,,,,
,,,,,31.89,885.5,0.856,,,,,,
,,,,,31.95,886.79,0.864,,,,,,
,,,,,32.01,888.05,0.826,,,,,,
,,,,,32.07,889.31,0.845,,,,,,
,,,,,32.13,890.57,0.829,,,,,,
,,,,,32.19,891.86,0.833,,,,,,
,,,,,32.25,893.18,0.843,,,,,,
,,,,,32.31,894.5,0.857,,,,,,
,,,,,32.37,895.84,0.857,,,,,,
