Depth,Age,d18O,Ref,,Depth,Age,UK37,Ref,,Depth,Age,MgCa,Ref
,,,,,32.43,897.25,0.865,,,,,,
,,,,,32.49,898.66,0.885,,,,,,
,,,,,32.55,900.07,0.887,,,,,,
,,,,,32.61,901.53,0.899,,,,,,
,,,,,32.67,903,0.91,,,,,,
,,,,,32.73,904.47,0.916,,,,,,
,,,,,32.79,905.94,0.913,,,,,,
,,,,,32.85,907.41,0.908,,,,,,
,,,,,32.91,908.88,0.904,,,,,,
,,,,,32.98,910.55,0.917,,,,,,
,,,,,33.03,911.68,0.917,,,,,,
,,,,,33.09,913.03,0.917,,,,,,
,,,,,33.15,914.38,0.913,,,,,,
,,,,,33.21,915.55,0.838,,,,,,
,,,,,33.27,916.69,0.817,,,,,,
,,,,,33.33,917.83,0.838,,,,,,
,,,,,33.39,918.85,0.823,,,,,,
,,,,,33.45,919.75,0.854,,,,,,
,,,,,33.51,920.65,0.856,,,,,,
,,,,,33.57,921.55,0.861,,,,,,
,,,,,33.63,922.45,0.884,,,,,,
,,,,,33.69,923.35,0.883,,,,,,
,,,,,33.75,924.25,0.895,,,,,,
,,,,,33.81,925.18,0.911,,,,,,
,,,,,33.87,926.11,0.929,,,,,,
,,,,,33.93,927.04,0.909,,,,,,
,,,,,33.99,928.18,0.903,,,,,,
,,,,,34.05,929.53,0.913,,,,,,
,,,,,34.11,930.88,0.907,,,,,,
,,,,,34.17,932.36,0.903,,,,,,
,,,,,34.23,934.49,0.914,,,,,,
,,,,,34.29,936.62,0.911,,,,,,
,,,,,34.35,938.75,0.916,,,,,,
,,,,,34.41,941.63,0.922,,,,,,
,,,,,34.47,944.66,0.919,,,,,,
,,,,,34.53,947.69,0.938,,,,,,
,,,,,34.59,950.48,0.95,,,,,,
,,,,,34.65,953.03,0.952,,,,,,
,,,,,34.71,955.58,0.94,,,,,,
,,,,,34.77,957.86,0.943,,,,,,
,,,,,34.83,958.82,0.975,,,,,,
,,,,,34.89,959.78,0.973,,,,,,
,,,,,34.95,960.74,0.922,,,,,,
,,,,,35.01,961.6,0.938,,,,,,
,,,,,35.07,962.44,0.908,,,,,,
,,,,,35.13,963.28,0.896,,,,,,
,,,,,35.19,964.11,0.892,,,,,,
,,,,,35.25,964.92,0.91,,,,,,
,,,,,35.31,965.73,0.919,,,,,,
,,,,,35.37,966.55,0.925,,,,,,
,,,,,35.43,967.42,0.932,,,,,,
,,,,,35.49,968.29,0.93,,,,,,
,,,,,35.54,969.01,0.934,,,,,,
,,,,,35.61,970.3,0.934,,,,,,
,,,,,35.67,971.5,0.934,,,,,,
,,,,,35.73,972.7,0.924,,,,,,
,,,,,35.79,974.07,0.937,,,,,,
,,,,,35.85,975.6,0.958,,,,,,
,,,,,35.91,977.13,0.953,,,,,,
,,,,,35.97,978.68,0.95,,,,,,
,,,,,36.03,980.33,0.928,,,,,,
,,,,,36.09,981.98,0.919,,,,,,
,,,,,36.15,983.63,0.921,,,,,,
,,,,,36.21,985.25,0.928,,,,,,
,,,,,36.27,986.87,0.893,,,,,,
,,,,,36.33,988.49,0.915,,,,,,
,,,,,36.39,990.1,0.916,,,,,,
,,,,,36.45,991.69,0.91,,,,,,
,,,,,36.51,993.28,0.91,,,,,,
,,,,,36.57,994.85,0.911,,,,,,
,,,,,36.63,996.32,0.923,,,,,,
,,,,,36.69,997.79,0.935,,,,,,
,,,,,36.74,999.01,0.944,,,,,,
,,,,,36.81,1000.55,0.951,,,,,,
,,,,,36.87,1001.81,0.945,,,,,,
,,,,,36.93,1003.07,0.941,,,,,,
,,,,,36.99,1004.33,0.929,,,,,,
,,,,,37.05,1005.59,0.916,,,,,,
,,,,,37.11,1006.85,0.91,,,,,,
,,,,,37.17,1008.13,0.91,,,,,,
,,,,,37.23,1009.48,0.913,,,,,,
,,,,,37.29,1010.83,0.923,,,,,,
,,,,,37.34,1011.95,0.92,,,,,,
,,,,,37.41,1013.7,0.928,,,,,,
,,,,,37.47,1015.26,0.94,,,,,,
,,,,,37.53,1016.82,0.93,,,,,,
,,,,,37.59,1018.64,0.931,,,,,,
,,,,,37.65,1020.71,0.928,,,,,,
,,,,,37.71,1022.78,0.946,,,,,,
,,,,,37.77,1024.84,0.946,,,,,,
,,,,,37.83,1026.85,0.95,,,,,,
,,,,,37.89,1028.86,0.95,,,,,,
,,,,,37.95,1030.87,0.938,,,,,,
,,,,,38.01,1032.6,0.924,,,,,,
,,,,,38.07,1034.28,0.922,,,,,,
,,,,,38.13,1035.96,0.919,,,,,,
,,,,,38.19,1037.72,0.914,,,,,,
,,,,,38.25,1039.55,0.915,,,,,,
,,,,,38.31,1041.38,0.92,,,,,,
,,,,,38.37,1043.2,0.919,,,,,,
,,,,,38.43,1044.97,0.915,,,,,,
,,,,,38.49,1046.74,0.9,,,,,,
,,,,,38.55,1048.51,0.902,,,,,,
,,,,,38.61,1050.3,0.894,,,,,,
,,,,,38.67,1052.1,0.889,,,,,,
,,,,,38.73,1053.9,0.902,,,,,,
,,,,,38.79,1055.73,0.895,,,,,,
,,,,,38.85,1057.59,0.903,,,,,,
,,,,,38.91,1059.45,0.915,,,,,,
,,,,,38.97,1061.28,0.933,,,,,,
,,,,,39.03,1062.93,0.941,,,,,,
,,,,,39.09,1064.58,0.95,,,,,,
,,,,,39.15,1066.23,0.95,,,,,,
,,,,,39.21,1068.5,0.953,,,,,,
,,,,,39.27,1070.9,0.97,,,,,,
,,,,,39.33,1073.3,0.971,,,,,,
,,,,,39.39,1075.78,0.959,,,,,,
,,,,,39.45,1078.33,0.949,,,,,,
,,,,,39.51,1080.88,0.946,,,,,,
,,,,,39.57,1083.43,0.95,,,,,,
,,,,,39.63,1086.01,0.947,,,,,,
,,,,,39.69,1088.59,0.946,,,,,,
,,,,,39.75,1091.17,0.942,,,,,,
,,,,,39.81,1093.35,0.931,,,,,,
,,,,,39.87,1095.45,0.93,,,,,,
,,,,,39.93,1097.55,0.928,,,,,,
,,,,,39.99,1099.42,0.924,,,,,,
,,,,,40.05,1101.07,0.944,,,,,,
,,,,,40.11,1102.72,0.944,,,,,,
,,,,,40.17,1104.37,0.952,,,,,,
,,,,,40.23,1106.02,0.962,,,,,,
,,,,,40.35,1109.31,0.959,,,,,,
,,,,,40.41,1110.96,0.957,,,,,,
,,,,,40.47,1112.61,0.934,,,,,,
,,,,,40.53,1114.26,0.931,,,,,,
,,,,,40.59,1115.91,0.918,,,,,,
,,,,,40.65,1117.56,0.916,,,,,,
,,,,,40.71,1119.2,0.892,,,,,,
,,,,,40.77,1120.85,0.886,,,,,,
,,,,,40.83,1122.5,0.884,,,,,,
,,,,,40.89,1127.98,0.922,,,,,,
,,,,,40.95,1133.47,0.904,,,,,,
,,,,,41.01,1137.45,0.921,,,,,,
,,,,,41.07,1141.13,0.928,,,,,,
,,,,,41.13,1144.8,0.947,,,,,,
,,,,,41.19,1148.48,0.957,,,,,,
,,,,,41.25,1152.16,0.944,,,,,,
,,,,,41.31,1155.84,0.938,,,,,,
,,,,,41.37,1159.37,0.949,,,,,,
,,,,,41.43,1162.16,0.95,,,,,,
,,,,,41.49,1164.95,0.936,,,,,,
,,,,,41.55,1167.74,0.957,,,,,,
,,,,,41.61,1169.95,0.959,,,,,,
,,,,,41.67,1172.05,0.957,,,,,,
,,,,,41.73,1174.15,0.952,,,,,,
,,,,,41.79,1175.98,0.954,,,,,,
,,,,,41.85,1177.54,0.954,,,,,,
,,,,,41.91,1179.1,0.961,,,,,,
,,,,,41.97,1180.64,0.972,,,,,,
,,,,,42.03,1182.05,0.974,,,,,,
,,,,,42.09,1183.46,0.974,,,,,,
,,,,,42.15,1184.87,0.967,,,,,,
,,,,,42.21,1186.28,0.966,,,,,,
,,,,,42.27,1187.69,0.967,,,,,,
,,,,,42.33,1189.1,0.965,,,,,,
,,,,,42.39,1190.27,0.961,,,,,,
,,,,,42.45,1191.22,0.956,,,,,,
,,,,,42.51,1192.16,0.959,,,,,,
,,,,,42.57,1193.1,0.968,,,,,,
,,,,,42.63,1194.05,0.969,,,,,,
,,,,,42.69,1194.99,0.947,,,,,,
,,,,,42.75,1195.94,0.949,,,,,,
,,,,,42.81,1196.88,0.945,,,,,,
,,,,,42.87,1197.83,0.925,,,,,,
,,,,,42.93,1198.77,0.924,,,,,,
,,,,,42.99,1199.68,0.924,,,,,,
,,,,,43.05,1200.52,0.928,,,,,,
,,,,,43.11,1201.36,0.93,,,,,,
,,,,,43.17,1202.19,0.938,,,,,,
,,,,,43.23,1203.03,0.927,,,,,,
,,,,,43.29,1203.87,0.93,,,,,,
,,,,,43.35,1204.71,0.928,,,,,,
,,,,,43.41,1205.54,0.924,,,,,,
,,,,,43.47,1206.38,0.943,,,,,,
,,,,,43.53,1207.22,0.952,,,,,,
,,,,,43.59,1208.67,0.95,,,,,,
,,,,,43.65,1210.44,0.935,,,,,,
,,,,,43.71,1212.2,0.934,,,,,,
,,,,,43.77,1213.96,0.927,,,,,,
,,,,,43.82,1215.43,0.929,,,,,,
,,,,,43.88,1217.83,0.927,,,,,,
,,,,,43.94,1221.52,0.93,,,,,,
,,,,,44,1225.21,0.937,,,,,,
,,,,,44.06,1227.06,0.956,,,,,,
,,,,,44.12,1228.9,0.969,,,,,,
,,,,,44.18,1230.75,0.981,,,,,,
,,,,,44.24,1232.6,0.98,,,,,,
,,,,,44.3,1234.45,0.98,,,,,,
,,,,,44.36,1236.3,0.98,,,,,,
,,,,,44.42,1238.15,0.982,,,,,,
,,,,,44.48,1240,0.984,,,,,,
,,,,,44.54,1241.26,0.983,,,,,,
,,,,,44.6,1242.53,0.977,,,,,,
,,,,,44.66,1243.79,0.948,,,,,,
,,,,,44.72,1245.05,0.916,,,,,,
,,,,,44.78,1246.32,0.898,,,,,,
,,,,,44.84,1247.58,0.888,,,,,,
,,,,,44.9,1248.84,0.89,,,,,,
,,,,,44.96,1250.11,0.896,,,,,,
,,,,,45.02,1251.37,0.896,,,,,,
,,,,,45.08,1253.17,0.88,,,,,,
,,,,,45.14,1255.51,0.918,,,,,,
,,,,,45.2,1257.86,0.913,,,,,,
,,,,,45.26,1260.2,0.892,,,,,,
,,,,,45.32,1262.54,0.909,,,,,,
,,,,,45.38,1264.89,0.923,,,,,,
,,,,,45.44,1267.23,0.911,,,,,,
,,,,,45.5,1269.57,0.911,,,,,,
,,,,,45.56,1271.92,0.933,,,,,,
,,,,,45.62,1274.26,0.944,,,,,,
,,,,,45.68,1276.6,0.933,,,,,,
,,,,,45.74,1278.95,0.926,,,,,,
,,,,,45.8,1281.29,0.929,,,,,,
,,,,,45.86,1283.63,0.936,,,,,,
,,,,,45.92,1285.98,0.941,,,,,,
,,,,,45.98,1288.32,0.953,,,,,,
,,,,,46,1289.1,0.944,,,,,,
,,,,,46.06,1290.43,0.937,,,,,,
,,,,,46.12,1291.75,0.933,,,,,,
,,,,,46.18,1293.08,0.924,,,,,,
,,,,,46.24,1294.4,0.933,,,,,,
,,,,,46.3,1295.73,0.92,,,,,,
,,,,,46.36,1297.06,0.922,,,,,,
,,,,,46.42,1298.38,0.94,,,,,,
,,,,,46.48,1299.71,0.935,,,,,,
,,,,,46.54,1301.03,0.936,,,,,,
,,,,,46.6,1302.36,0.933,,,,,,
,,,,,46.66,1303.69,0.943,,,,,,
,,,,,46.72,1305.01,0.947,,,,,,
,,,,,46.78,1306.34,0.946,,,,,,
,,,,,46.84,1307.48,0.942,,,,,,
,,,,,46.9,1308.45,0.952,,,,,,
,,,,,46.96,1309.42,0.957,,,,,,
,,,,,47.02,1310.39,0.948,,,,,,
,,,,,47.08,1311.35,0.95,,,,,,
,,,,,47.14,1312.32,0.958,,,,,,
,,,,,47.19,1313.13,0.962,,,,,,
,,,,,47.26,1314.26,0.964,,,,,,
,,,,,47.32,1315.23,0.962,,,,,,
,,,,,47.38,1316.19,0.962,,,,,,
,,,,,47.44,1317.16,0.954,,,,,,
,,,,,47.5,1318.13,0.946,,,,,,
,,,,,47.56,1319.1,0.94,,,,,,
,,,,,47.62,1320.06,0.941,,,,,,
,,,,,47.68,1321.03,0.94,,,,,,
,,,,,47.74,1322,0.932,,,,,,
,,,,,47.8,1324.67,0.931,,,,,,
,,,,,47.86,1327.33,0.931,,,,,,
,,,,,47.92,1330,0.921,,,,,,
,,,,,47.98,1332.67,0.918,,,,,,
,,,,,48.04,1335.33,0.919,,,,,,
,,,,,48.1,1338,0.918,,,,,,
,,,,,48.16,1340.67,0.918,,,,,,
,,,,,48.22,1343.5,0.925,,,,,,
,,,,,48.28,1346.5,0.959,,,,,,
,,,,,48.34,1349.5,0.963,,,,,,
,,,,,48.4,1352.5,0.973,,,,,,
,,,,,48.46,1355.5,0.968,,,,,,
,,,,,48.52,1358.3,0.98,,,,,,
,,,,,48.58,1360.1,0.973,,,,,,
,,,,,48.64,1361.9,0.974,,,,,,
,,,,,48.7,1363.7,0.975,,,,,,
,,,,,48.76,1365.5,0.973,,,,,,
,,,,,48.82,1367.3,0.971,,,,,,
,,,,,48.88,1369.1,0.948,,,,,,
,,,,,48.94,1370.9,0.931,,,,,,
,,,,,49,1372.7,0.926,,,,,,
,,,,,49.06,1374.5,0.913,,,,,,
,,,,,49.12,1376.3,0.913,,,,,,
,,,,,49.18,1378.1,0.895,,,,,,
,,,,,49.24,1379.9,0.907,,,,,,
,,,,,49.3,1381.7,0.918,,,,,,
,,,,,49.36,1383.5,0.94,,,,,,
,,,,,49.42,1385.38,0.943,,,,,,
,,,,,49.48,1387.69,0.929,,,,,,
,,,,,49.54,1390,0.946,,,,,,
,,,,,49.6,1392.31,0.954,,,,,,
,,,,,49.66,1394.62,0.959,,,,,,
,,,,,49.72,1396.92,0.959,,,,,,
,,,,,49.78,1399.23,0.96,,,,,,
,,,,,49.84,1401.69,0.951,,,,,,
,,,,,49.9,1404.15,0.945,,,,,,
,,,,,49.96,1406.61,0.94,,,,,,
,,,,,50.02,1409.08,0.933,,,,,,
,,,,,50.08,1411.54,0.934,,,,,,
,,,,,50.14,1414,0.941,,,,,,
,,,,,50.2,1416.46,0.949,,,,,,
,,,,,50.26,1418.92,0.941,,,,,,
,,,,,50.32,1421.38,0.94,,,,,,
,,,,,50.38,1423.85,0.945,,,,,,
,,,,,50.44,1426.31,0.964,,,,,,
,,,,,50.5,1428.77,0.977,,,,,,
,,,,,50.56,1431.23,0.985,,,,,,
,,,,,50.62,1433.69,0.979,,,,,,
,,,,,50.68,1436.15,0.975,,,,,,
,,,,,50.74,1438.62,0.973,,,,,,
,,,,,50.8,1441.08,0.978,,,,,,
,,,,,50.86,1443.54,0.98,,,,,,
,,,,,50.92,1446,0.979,,,,,,
,,,,,50.98,1448.55,0.964,,,,,,
,,,,,51.04,1451.1,0.978,,,,,,
,,,,,51.1,1453.66,0.961,,,,,,
,,,,,51.16,1456.21,0.949,,,,,,
,,,,,51.22,1458.76,0.944,,,,,,
,,,,,51.28,1461.31,0.934,,,,,,
,,,,,51.34,1463.86,0.94,,,,,,
,,,,,51.4,1466.41,0.941,,,,,,
,,,,,51.46,1468.97,0.948,,,,,,
,,,,,51.52,1471.52,0.955,,,,,,
,,,,,51.58,1474.07,0.966,,,,,,
,,,,,51.64,1476.62,0.964,,,,,,
,,,,,51.7,1479.17,0.961,,,,,,
,,,,,51.76,1481.72,0.968,,,,,,
,,,,,51.82,1484.28,0.979,,,,,,
,,,,,51.88,1486.83,0.97,,,,,,
,,,,,51.94,1489.38,0.969,,,,,,
,,,,,52,1491.93,0.975,,,,,,
,,,,,52.06,1494.48,0.974,,,,,,
,,,,,52.12,1497.03,0.971,,,,,,
,,,,,52.18,1499.59,0.963,,,,,,
,,,,,52.24,1502.14,0.956,,,,,,
,,,,,52.3,1504.69,0.957,,,,,,
,,,,,52.36,1507.24,0.958,,,,,,
,,,,,52.42,1509.79,0.941,,,,,,
,,,,,52.48,1512.34,0.943,,,,,,
,,,,,52.54,1514.9,0.951,,,,,,
,,,,,52.6,1517.45,0.958,,,,,,
,,,,,52.66,1520,0.962,,,,,,
,,,,,52.72,1522.63,0.942,,,,,,
,,,,,52.78,1525.26,0.943,,,,,,
,,,,,52.84,1527.88,0.937,,,,,,
,,,,,52.9,1530.51,0.923,,,,,,
,,,,,52.96,1533.14,0.92,,,,,,
,,,,,53.02,1535.77,0.921,,,,,,
,,,,,53.08,1538.4,0.922,,,,,,
,,,,,53.14,1541.02,0.923,,,,,,
,,,,,53.2,1543.65,0.921,,,,,,
,,,,,53.26,1546.99,0.933,,,,,,
,,,,,53.32,1550.42,0.947,,,,,,
,,,,,53.38,1553.86,0.953,,,,,,
,,,,,53.44,1557.34,0.956,,,,,,
,,,,,53.5,1560.86,0.957,,,,,,
,,,,,53.56,1564.37,0.951,,,,,,
,,,,,53.62,1567.79,0.95,,,,,,
,,,,,53.68,1570.73,0.949,,,,,,
,,,,,53.74,1573.67,0.94,,,,,,
,,,,,53.8,1576.61,0.941,,,,,,
,,,,,53.86,1579.3,0.937,,,,,,
,,,,,53.92,1581.95,0.942,,,,,,
,,,,,53.98,1584.59,0.967,,,,,,
,,,,,54.04,1586.73,0.967,,,,,,
,,,,,54.1,1588.36,0.954,,,,,,
,,,,,54.16,1589.99,0.938,,,,,,
,,,,,54.22,1591.63,0.923,,,,,,
,,,,,54.28,1593.26,0.933,,,,,,
,,,,,54.34,1594.89,0.941,,,,,,
,,,,,54.4,1596.52,0.944,,,,,,
,,,,,54.47,1598.42,0.937,,,,,,
,,,,,54.53,1600.05,0.93,,,,,,
,,,,,54.59,1601.68,0.929,,,,,,
,,,,,54.65,1603.55,0.929,,,,,,
,,,,,54.71,1605.65,0.934,,,,,,
,,,,,54.77,1607.75,0.943,,,,,,
,,,,,54.83,1609.85,0.95,,,,,,
,,,,,54.89,1611.95,0.951,,,,,,
,,,,,54.95,1614.05,0.956,,,,,,
,,,,,55.01,1616.15,0.954,,,,,,
,,,,,55.07,1618.25,0.941,,,,,,
,,,,,55.13,1620.35,0.943,,,,,,
,,,,,55.19,1622.45,0.937,,,,,,
,,,,,55.25,1624.55,0.93,,,,,,
,,,,,55.31,1626.65,0.933,,,,,,
,,,,,55.37,1628.75,0.94,,,,,,
,,,,,55.43,1630.85,0.942,,,,,,
,,,,,55.49,1634.4,0.936,,,,,,
,,,,,55.55,1638.24,0.92,,,,,,
,,,,,55.61,1642.08,0.899,,,,,,
,,,,,55.67,1645.92,0.881,,,,,,
,,,,,55.73,1649.76,0.874,,,,,,
,,,,,55.79,1653.6,0.871,,,,,,
,,,,,55.85,1657.11,0.872,,,,,,
,,,,,55.91,1660.63,0.876,,,,,,
,,,,,55.97,1664.14,0.872,,,,,,
,,,,,56.03,1667.65,0.901,,,,,,
,,,,,56.09,1671.16,0.893,,,,,,
,,,,,56.15,1674.68,0.906,,,,,,
,,,,,56.21,1678.19,0.932,,,,,,
,,,,,56.27,1681.7,0.949,,,,,,
,,,,,56.33,1685.22,0.946,,,,,,
,,,,,56.39,1688.73,0.967,,,,,,
,,,,,56.54,1696.58,0.965,,,,,,
,,,,,56.6,1699.66,0.95,,,,,,
,,,,,56.66,1702.74,0.949,,,,,,
,,,,,56.72,1705.82,0.949,,,,,,
,,,,,56.78,1708.9,0.941,,,,,,
,,,,,56.84,1711.98,0.909,,,,,,
,,,,,56.9,1715.06,0.91,,,,,,
,,,,,56.96,1718.15,0.912,,,,,,
,,,,,57.02,1720.97,0.917,,,,,,
,,,,,57.08,1723.3,0.912,,,,,,
,,,,,57.14,1725.62,0.915,,,,,,
,,,,,57.2,1727.94,0.917,,,,,,
,,,,,57.26,1730.27,0.93,,,,,,
,,,,,57.32,1732.59,0.935,,,,,,
,,,,,57.38,1734.91,0.933,,,,,,
,,,,,57.44,1737.23,0.925,,,,,,
,,,,,57.5,1739.56,0.923,,,,,,
,,,,,57.56,1741.88,0.923,,,,,,
,,,,,57.62,1744.2,0.939,,,,,,
,,,,,57.68,1746.52,0.956,,,,,,
,,,,,57.74,1748.85,0.941,,,,,,
,,,,,57.8,1751.17,0.926,,,,,,
,,,,,57.86,1753.49,0.927,,,,,,
,,,,,57.92,1755.82,0.92,,,,,,
,,,,,57.98,1758.14,0.895,,,,,,
,,,,,58.04,1760.38,0.929,,,,,,
,,,,,58.1,1762.55,0.94,,,,,,
,,,,,58.16,1764.72,0.964,,,,,,
,,,,,58.22,1766.89,0.959,,,,,,
,,,,,58.28,1778.6,0.958,,,,,,
,,,,,58.34,1780.3,0.955,,,,,,
,,,,,58.4,1782.01,0.956,,,,,,
,,,,,58.46,1783.71,0.956,,,,,,
,,,,,58.52,1785.42,0.955,,,,,,
,,,,,58.58,1787.12,0.948,,,,,,
,,,,,58.64,1788.83,0.952,,,,,,
,,,,,58.7,1790.53,0.955,,,,,,
,,,,,58.76,1792.24,0.952,,,,,,
,,,,,58.82,1793.94,0.932,,,,,,
,,,,,58.88,1795.65,0.93,,,,,,
,,,,,58.94,1797.35,0.93,,,,,,
,,,,,59,1799.06,0.924,,,,,,
,,,,,59.06,1800.76,0.922,,,,,,
,,,,,59.12,1802.47,0.917,,,,,,
,,,,,59.18,1804.17,0.911,,,,,,
,,,,,59.24,1805.88,0.927,,,,,,
,,,,,59.3,1807.58,0.945,,,,,,
,,,,,59.36,1809.29,0.964,,,,,,
,,,,,59.42,1811,0.962,,,,,,
,,,,,59.48,1813.05,0.95,,,,,,
,,,,,59.54,1815.11,0.944,,,,,,
,,,,,59.6,1817.16,0.945,,,,,,
,,,,,59.66,1819.21,0.941,,,,,,
,,,,,59.72,1821.27,0.95,,,,,,
,,,,,59.78,1823.32,0.95,,,,,,
,,,,,59.84,1825.38,0.938,,,,,,
,,,,,59.9,1827.43,0.912,,,,,,
,,,,,59.96,1829.48,0.915,,,,,,
,,,,,60.02,1831.54,0.913,,,,,,
,,,,,60.08,1833.59,0.92,,,,,,
,,,,,60.14,1835.64,0.92,,,,,,
,,,,,60.2,1837.7,0.926,,,,,,
,,,,,60.26,1839.75,0.933,,,,,,
,,,,,60.32,1841.8,0.945,,,,,,
,,,,,60.38,1843.86,0.94,,,,,,
,,,,,60.44,1845.91,0.923,,,,,,
,,,,,60.5,1847.96,0.913,,,,,,
,,,,,60.56,1850.02,0.932,,,,,,
,,,,,60.62,1852.07,0.944,,,,,,
,,,,,60.68,1854.13,0.943,,,,,,
,,,,,60.74,1856.18,0.946,,,,,,
,,,,,60.8,1858.23,0.943,,,,,,
,,,,,60.86,1860.29,0.94,,,,,,
,,,,,60.92,1862.34,0.943,,,,,,
,,,,,60.98,1864.39,0.944,,,,,,
,,,,,61.04,1866.45,0.934,,,,,,
,,,,,61.1,1868.5,0.937,,,,,,
,,,,,61.16,1870.55,0.94,,,,,,
,,,,,61.22,1872.61,0.93,,,,,,
,,,,,61.28,1874.66,0.918,,,,,,
,,,,,61.34,1876.71,0.917,,,,,,
,,,,,61.4,1878.77,0.918,,,,,,
,,,,,61.46,1880.82,0.922,,,,,,
,,,,,61.52,1882.88,0.929,,,,,,
,,,,,61.58,1884.93,0.934,,,,,,
,,,,,61.64,1886.98,0.923,,,,,,
,,,,,61.7,1889.04,0.921,,,,,,
,,,,,61.76,1891.09,0.94,,,,,,
,,,,,61.82,1893.14,0.929,,,,,,
,,,,,61.88,1895.2,0.922,,,,,,
,,,,,61.94,1897.25,0.92,,,,,,
,,,,,62.06,1901.36,0.934,,,,,,
,,,,,62.12,1903.41,0.952,,,,,,
,,,,,62.18,1905.46,0.948,,,,,,
,,,,,62.24,1907.52,0.942,,,,,,
,,,,,62.3,1909.57,0.948,,,,,,
,,,,,62.36,1911.63,0.949,,,,,,
,,,,,62.42,1913.68,0.937,,,,,,
,,,,,62.48,1915.73,0.935,,,,,,
,,,,,62.54,1917.79,0.942,,,,,,
,,,,,62.6,1919.84,0.941,,,,,,
,,,,,62.66,1921.89,0.94,,,,,,
,,,,,62.72,1923.95,0.958,,,,,,
,,,,,62.78,1926,0.959,,,,,,
,,,,,62.84,1928.71,0.947,,,,,,
,,,,,62.9,1931.43,0.945,,,,,,
,,,,,62.96,1934.14,0.95,,,,,,
,,,,,63.02,1936.86,0.952,,,,,,
,,,,,63.08,1939.57,0.961,,,,,,
,,,,,63.14,1942.29,0.954,,,,,,
,,,,,63.2,1945,0.934,,,,,,
,,,,,63.26,1949.09,0.931,,,,,,
,,,,,63.32,1953.18,0.929,,,,,,
,,,,,63.38,1957.27,0.951,,,,,,
,,,,,63.44,1961.36,0.951,,,,,,
,,,,,63.5,1965.45,0.964,,,,,,
,,,,,63.56,1969.55,0.952,,,,,,
,,,,,63.62,1973.64,0.954,,,,,,
,,,,,63.68,1977.73,0.959,,,,,,
,,,,,63.74,1981.82,0.97,,,,,,
,,,,,63.8,1985.91,0.971,,,,,,
,,,,,63.86,1990,0.974,,,,,,
,,,,,63.92,1993.36,0.971,,,,,,
,,,,,63.98,1996.73,0.97,,,,,,
,,,,,64.04,2000.09,0.96,,,,,,
,,,,,64.1,2003.45,0.954,,,,,,
,,,,,64.16,2006.82,0.949,,,,,,
,,,,,64.22,2010.18,0.947,,,,,,
,,,,,64.28,2013.55,0.947,,,,,,
,,,,,64.34,2016.91,0.948,,,,,,
,,,,,64.4,2020.27,0.953,,,,,,
,,,,,64.46,2023.64,0.957,,,,,,
,,,,,64.52,2027,0.952,,,,,,
,,,,,64.58,2030.08,0.947,,,,,,
,,,,,64.64,2033.15,0.944,,,,,,
,,,,,64.7,2036.23,0.935,,,,,,
,,,,,64.76,2039.31,0.928,,,,,,
,,,,,64.82,2042.38,0.93,,,,,,
,,,,,64.88,2045.46,0.93,,,,,,
,,,,,64.94,2048.54,0.932,,,,,,
,,,,,65,2051.62,0.91,,,,,,
,,,,,65.06,2054.69,0.915,,,,,,
,,,,,65.12,2057.77,0.911,,,,,,
,,,,,65.18,2060.85,0.917,,,,,,
,,,,,65.24,2063.92,0.902,,,,,,
,,,,,65.3,2067,0.905,,,,,,
,,,,,65.36,2070.51,0.903,,,,,,
,,,,,65.42,2074.03,0.913,,,,,,
,,,,,65.48,2077.54,0.91,,,,,,
,,,,,65.54,2081.06,0.909,,,,,,
,,,,,65.6,2084.57,0.904,,,,,,
,,,,,65.66,2088.08,0.906,,,,,,
,,,,,65.72,2091.6,0.919,,,,,,
,,,,,65.78,2095.11,0.933,,,,,,
,,,,,65.84,2098.63,0.942,,,,,,
,,,,,65.9,2101.08,0.934,,,,,,
,,,,,65.93,2102.31,0.924,,,,,,
,,,,,66,2105.17,0.913,,,,,,
,,,,,66.06,2107.63,0.915,,,,,,
,,,,,66.11,2109.67,0.917,,,,,,
,,,,,66.17,2112.13,0.928,,,,,,
,,,,,66.23,2114.58,0.938,,,,,,
,,,,,66.29,2117.04,0.957,,,,,,
,,,,,66.35,2119.49,0.952,,,,,,
,,,,,66.41,2121.18,0.949,,,,,,
,,,,,66.48,2122.97,0.959,,,,,,
,,,,,66.54,2124.51,0.962,,,,,,
,,,,,66.59,2125.79,0.967,,,,,,
,,,,,66.645,2127.2,0.973,,,,,,
,,,,,66.71,2128.86,0.976,,,,,,
,,,,,66.785,2130.78,0.978,,,,,,
,,,,,66.79,2130.91,0.974,,,,,,
,,,,,66.85,2136,0.975,,,,,,
,,,,,66.91,2137.42,0.975,,,,,,
,,,,,66.97,2138.85,0.973,,,,,,
,,,,,67.03,2140.27,0.968,,,,,,
,,,,,67.09,2141.7,0.959,,,,,,
,,,,,67.15,2143.12,0.954,,,,,,
,,,,,67.21,2144.55,0.953,,,,,,
,,,,,67.27,2145.97,0.949,,,,,,
,,,,,67.33,2147.39,0.915,,,,,,
,,,,,67.39,2148.82,0.92,,,,,,
,,,,,67.45,2150.24,0.909,,,,,,
,,,,,67.51,2151.67,0.895,,,,,,
,,,,,67.57,2153.09,0.893,,,,,,
,,,,,67.63,2154.52,0.903,,,,,,
