model,rmse,mae,r2,bias,random_error
Direct Calibration,1.530947939455148,1.0926836723951336,0.5403904287569237,-0.48732063466212866,1.4513167098722675
Standard GP,2.2582228712312586,1.8789303269827073,-4.195885303426294e-06,-0.0074147944334010275,2.258210698091624
Latent Variable Extraction,1.302428167980249,1.0121482347048019,0.667358998511093,-0.021181255095765003,1.3022559223059635
Bayesian GP State-Space,1.5188315387643154,1.0746832072749242,0.5476366282089451,-0.5095768274701906,1.430797225343477
