model,rmse,mae,r2,bias,random_error
Direct Calibration,1.3883843625190855,0.8024946189962183,0.6220036153128061,-0.15170566469442703,1.380071204462708
Standard GP,1.667409166455817,1.3270747040603088,0.4548040909925518,-0.25314815008304964,1.6480805024301488
Latent Variable Extraction,1.3306795808069756,0.9088371829120134,0.6527716277455259,-0.12648717333361936,1.3246543480314776
Bayesian GP State-Space,0.854290102890125,0.6295579778553769,0.8568870384421806,0.0944180803606306,0.8490564209739148
