model,rmse,mae,r2,bias,random_error
Direct Calibration,2.408415711925946,1.5402302101707848,-0.13744687683441037,-0.6384547660731854,2.322249287464676
Standard GP,2.329500846110563,1.9125705459258566,-0.06412822861109913,-0.5718959567885877,2.258209292036213
Latent Variable Extraction,1.786004899800406,1.3184282499936593,0.3744910745739696,0.36830610938828895,1.7476166947870233
Bayesian GP State-Space,1.6605773183855548,1.2796905719750356,0.45926258279731025,-0.6238971873650067,1.538918233674094
