Kernel,RMSE,MAE,R2
rbf,2.833767147138533,2.374229669570923,0.5358811020851135
matern_2.5,3.036804929726863,2.5373003482818604,0.46699076890945435
combined,1.4852156818343833,1.184106707572937,0.8725088834762573
