Kernel,RMSE,MAE,R2
rbf,5.485576443700127,4.262979507446289,-0.7414370775222778
matern_2.5,5.513397372118733,4.228715896606445,-0.7591457366943359
combined,3.4198449091853362,2.912029266357422,0.32317548990249634
